sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,816259212,USTEC,8,Buy,18088.7,23721,2025/04/22 16:44:01,1970/01/01 00:00:00,2025/04/22,1970/01/01,45058.4,-15962.3,0,29096.1,0,17986.37,5632.3,Win,0,202501006,,deusfund-sqx2
Open position,816328828,USTEC,8,Buy,18148.2,23721,2025/04/22 17:00:32,1970/01/01 00:00:00,2025/04/22,1970/01/01,44582.4,-15962.3,0,28620.1,0,18038.54,5572.8,Win,0,202501009,,deusfund-sqx2
Open position,816364336,USTEC,8,Buy,18184.05,23721,2025/04/22 17:10:24,1970/01/01 00:00:00,2025/04/22,1970/01/01,44295.6,-15962.3,0,28333.3,0,18063.08,5537.0,Win,0,202501008,,deusfund-sqx2
Open position,817422160,USTEC,8,Buy,18573.35,23721,2025/04/23 01:00:11,1970/01/01 00:00:00,2025/04/23,1970/01/01,41181.2,-15938.92,0,25242.28,0,18456.32,5147.6,Win,0,202501004,,deusfund-sqx2
Pending order,1556745133,USTEC,8,Buy Stop,24296.13,0,2026/03/26 01:00:15,1970/01/01 00:00:00,2026/03/26,1970/01/01,0,0,0,0,0,0,0,n/a,0,202501007,202501007_USTEC_H1_15_1_152,deusfund-sqx2
Pending order,1562350068,GBPJPY,1,Buy Stop,213.182,0,2026/03/30 01:00:01,1970/01/01 00:00:00,2026/03/30,1970/01/01,0,0,0,0,0,0,0,n/a,0,202501003,202501003_GBPJPY_H4_1.23.176,deusfund-sqx2
Pending order,1567134784,XAUUSD,0.4,Buy Stop,5408.48,0,2026/03/31 17:00:00,1970/01/01 00:00:00,2026/03/31,1970/01/01,0,0,0,0,0,0,0,n/a,0,6,XAUUSD-H1-free-example,deusfund-sqx1
Open position,1297053519,USTEC,8,Buy,23573.2,23721,2026/03/31 19:41:09,1970/01/01 00:00:00,2026/03/31,1970/01/01,1182.4,0,0,1182.4,23923.25,23464.34,147.8,Win,0,202501005,,deusfund-sqx2
Pending order,1567622687,USTEC,5,Sell Stop,22399.71,0,2026/03/31 19:45:00,1970/01/01 00:00:00,2026/03/31,1970/01/01,0,0,0,0,0,0,0,n/a,0,1,SP_M5_840534161_S_BB_CF_SQX,deusfund-sqx1
Pending order,1567676819,USTEC,5,Buy Stop,23947.41,0,2026/03/31 20:00:00,1970/01/01 00:00:00,2026/03/31,1970/01/01,0,0,0,0,0,0,0,n/a,0,2,NQ_H4_820422556_S_BB_CF_SQX,deusfund-sqx1
Closed position,698870856,XAUUSD,1,Buy,2633.5,2632.98,2025/01/02 03:30:35,2025/01/02 04:00:00,2025/01/02,2025/01/02,-52,0,-7,-59,0,0,-5.2,Loss,0.49,1007,,deusfund-sqx1
