sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,816259212,USTEC,8,Buy,18088.7,25129.8,2025/04/22 16:44:01,1970/01/01 00:00:00,2025/04/22,1970/01/01,56328.8,-7714.23,0,48614.57,0,17986.37,7041.1,Win,0,202501006,,deusfund-sqx2
Open position,816328828,USTEC,8,Buy,18148.2,25129.8,2025/04/22 17:00:32,1970/01/01 00:00:00,2025/04/22,1970/01/01,55852.8,-7714.23,0,48138.57,0,18038.54,6981.6,Win,0,202501009,,deusfund-sqx2
Open position,816364336,USTEC,8,Buy,18184.05,25129.8,2025/04/22 17:10:24,1970/01/01 00:00:00,2025/04/22,1970/01/01,55566,-7714.23,0,47851.77,0,18063.08,6945.8,Win,0,202501008,,deusfund-sqx2
Open position,817422160,USTEC,8,Buy,18573.35,25129.8,2025/04/23 01:00:11,1970/01/01 00:00:00,2025/04/23,1970/01/01,52451.6,-7690.85,0,44760.75,0,18456.32,6556.4,Win,0,202501004,,deusfund-sqx2
Open position,1021769142,GBPJPY,1,Buy,202.122,204.622,2025/10/06 10:38:08,1970/01/01 00:00:00,2025/10/06,1970/01/01,1637.03,17.5,0,1654.53,206.073,203.718,250.0,Win,0,202501002,,deusfund-sqx2
Pending order,1256869069,USTEC,8,Buy Stop,25252.8,0,2025/10/08 01:00:15,1970/01/01 00:00:00,2025/10/08,1970/01/01,0,0,0,0,0,0,0,n/a,0,202501005,202501005_USTEC_H1_2_1_116_2,deusfund-sqx2
Open position,1024350655,USDJPY,1,Buy,151.913,152.716,2025/10/08 02:07:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,525.81,0,0,525.81,154.338,151.147,80.3,Win,0,202501015,,deusfund-sqx2
Open position,1024350652,USDJPY,1,Buy,151.913,152.716,2025/10/08 02:07:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,525.81,0,0,525.81,154.489,151.825,80.3,Win,0,202501016,,deusfund-sqx2
Open position,1024350649,USDJPY,1,Buy,151.913,152.716,2025/10/08 02:07:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,525.81,0,0,525.81,154.641,151.956,80.3,Win,0,202501018,,deusfund-sqx2
Open position,1025252752,USTEC,8,Buy,24972.9,25129.8,2025/10/08 16:56:01,1970/01/01 00:00:00,2025/10/08,1970/01/01,1255.2,0,0,1255.2,0,25022.67,156.9,Win,0,202501007,,deusfund-sqx2
Pending order,1258300617,USTEC,5,Sell Stop,24129.63,0,2025/10/08 20:00:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,0,0,0,0,0,0,0,n/a,0,2,NQ_H4_820422556_S_BB_CF_SQX,deusfund-sqx1
Pending order,1258468585,XAUUSD,0.4,Buy Stop,4056.61,0,2025/10/08 22:00:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,0,0,0,0,0,0,0,n/a,0,6,XAUUSD-H1-free-example,deusfund-sqx1
Pending order,1258468613,BTCUSD,0.8,Buy Stop,125374,0,2025/10/08 22:00:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,0,0,0,0,0,0,0,n/a,0,1001,Strategy_1_1_158_1,deusfund-sqx1
Pending order,1258555833,USTEC,5,Sell Stop,24127.41,0,2025/10/08 22:55:00,1970/01/01 00:00:00,2025/10/08,1970/01/01,0,0,0,0,0,0,0,n/a,0,1,SP_M5_840534161_S_BB_CF_SQX,deusfund-sqx1
Deposit,606798981,,0,,0,0,2024/10/02 17:34:53,2024/10/02 17:34:53,2024/10/02,2024/10/02,10000,0,0,10000,24048.07,24289.75,0,n/a,0,0,,deusfund-sqx1
Closed position,608579220,USTEC,1,Buy,19929.62,19999.87,2024/10/04 15:30:01,2024/10/04 15:46:05,2024/10/04,2024/10/04,70.25,0,0,70.25,0,0,70.2,Win,0.27,1,,deusfund-sqx1
Closed position,608692560,USTEC,1,Buy,20044.25,19983.22,2024/10/04 15:56:22,2024/10/04 16:51:50,2024/10/04,2024/10/04,-61.03,0,0,-61.03,0,0,-61.0,Loss,0.92,2,,deusfund-sqx1
Closed position,611037072,USTEC,1,Buy,20065.27,20000.59,2024/10/08 17:43:00,2024/10/08 20:05:56,2024/10/08,2024/10/08,-64.68,0,0,-64.68,0,0,-64.7,Loss,2.38,2,,deusfund-sqx1
Closed position,611236987,USTEC,8,Buy,20071.39,20115.09,2024/10/08 21:37:35,2024/10/08 22:45:00,2024/10/08,2024/10/08,349.6,0,0,349.6,0,0,43.7,Win,1.12,5,,deusfund-sqx1
Closed position,612017983,USTEC,1,Buy,20210.88,20213.33,2024/10/09 18:18:06,2024/10/09 19:14:58,2024/10/09,2024/10/09,2.45,0,0,2.45,0,0,2.4,Win,0.95,1,,deusfund-sqx1
Closed position,614591946,USTEC,1,Buy,20328.83,20329.21,2024/10/14 13:00:24,2024/10/14 14:03:28,2024/10/14,2024/10/14,0.38,0,0,0.38,0,0,0.4,Win,1.05,1,,deusfund-sqx1
Closed position,615115079,USTEC,8,Buy,20477.73,20480.43,2024/10/14 22:36:09,2024/10/14 22:45:00,2024/10/14,2024/10/14,21.6,0,0,21.6,0,0,2.7,Win,0.15,5,,deusfund-sqx1
